"","Longitude","Latitude","Time","Yield","Block","Sample","Balanced","Rectangle","Square"
"1",1143.71973949546,1065.41946168984,"10/19/2019 7:12:37 PM",28.33844372,0,0,0,0,0
"2",1543.31795388884,761.869504765992,"10/19/2019 10:21:57 PM",39.300079,1,4,0,0,0
"3",1974.18116533868,876.416239174244,"10/19/2019 9:39:06 PM",52.10487413,0,0,0,0,0
"4",1617.25817711428,1352.29069408969,"10/20/2019 12:25:22 AM",0,0,0,0,0,0
"5",1214.43582302961,1284.61902267592,"10/19/2019 8:59:07 PM",39.9438536,0,0,0,0,0
"6",1353.15811701227,839.023589464124,"10/19/2019 9:21:57 PM",45.1204237,0,0,0,0,0
"7",1023.58428959555,1250.14850707063,"10/19/2019 5:18:24 PM",36.91886595,0,0,0,0,0
"8",1886.24179150495,975.714713783461,"10/20/2019 2:11:22 AM",45.24449051,7,4,0,0,1
"9",1212.5647443328,626.591911645965,"10/19/2019 8:03:49 PM",34.26838375,0,0,0,0,0
"10",1500.46607532078,781.247104228995,"10/19/2019 10:10:53 PM",45.32107509,1,1,0,0,0
"11",1382.40904943234,830.054604335936,"10/19/2019 9:27:28 PM",43.82118061,0,0,0,0,0
"12",1551.091955141,1395.20691015037,"10/19/2019 4:53:43 PM",1.92729315,0,0,0,0,0
"13",1727.94011345917,987.489084848683,"10/20/2019 1:06:59 AM",10.09426828,5,1,0,0,1
"14",1230.41979259079,1410.70708762212,"10/19/2019 4:44:19 PM",27.67336608,0,0,0,0,0
"15",1046.80950399163,1342.62328623906,"10/19/2019 5:21:05 PM",43.86314866,0,0,0,0,0
"16",1465.66951222825,1343.62690071242,"10/19/2019 11:25:20 PM",44.40941094,0,0,0,0,0
"17",1756.81369282217,981.272403592951,"10/20/2019 1:17:09 AM",35.49632684,5,3,0,0,1
"18",1995.85620714518,1093.35104379778,"10/20/2019 12:42:16 AM",45.65899897,9,4,0,0,0
"19",1152.30242143929,973.525378597312,"10/19/2019 7:11:46 PM",18.86525973,0,0,0,0,0
"20",1579.2954457366,1373.94578287076,"10/19/2019 5:05:12 PM",39.79767123,0,0,0,0,0
"21",1506.17143954609,1009.86581991177,"10/19/2019 8:41:58 PM",26.96592815,1,1,0,0,1
"22",1697.41091768068,776.471233497835,"10/20/2019 1:38:18 AM",3.33973392,4,3,0,0,0
"23",1367.24146979831,1087.15415773093,"10/19/2019 11:47:38 PM",7.97976731,0,0,0,0,0
"24",1112.53619867803,1236.28204004315,"10/19/2019 6:51:29 PM",44.54136154,0,0,0,0,0
"25",1100.0867535732,1007.37048864898,"10/19/2019 6:42:16 PM",20.30764877,0,0,0,0,0
"26",1858.51684107202,869.249278368042,"10/20/2019 2:04:37 AM",16.69078116,7,2,0,0,1
"27",1202.86403289792,1031.92019172565,"10/19/2019 8:54:22 PM",43.23025443,0,0,0,0,0
"28",1585.75348480775,836.109827724571,"10/19/2019 10:37:05 PM",45.56450447,2,3,0,0,0
"29",1818.06462273091,760.151748119757,"10/20/2019 1:43:59 AM",27.76800338,0,0,0,0,0
"30",1539.77607192324,1120.02764527029,"10/19/2019 11:12:46 PM",0,1,4,0,0,1
"31",1143.63114552056,1087.28472896056,"10/19/2019 7:12:49 PM",18.33423452,0,0,0,0,0
"32",1454.91550430895,909.855271183543,"10/19/2019 9:58:38 PM",49.18119941,0,0,0,0,0
"33",1109.35316642446,983.557136210618,"10/19/2019 6:42:28 PM",0,0,0,0,0,0
"34",1143.629598991,1089.08863369169,"10/19/2019 7:12:50 PM",17.15076204,0,0,0,0,0
"35",1784.66070855292,1084.6335348437,"10/20/2019 1:30:20 AM",28.33549636,6,1,0,1,1
"36",1582.22684719485,1184.54212162765,"10/19/2019 11:08:37 PM",15.36209434,2,3,1,1,1
"37",1740.91670312553,703.77109959383,"10/19/2019 10:57:47 PM",15.46929595,0,0,0,0,0
"38",1828.48369665553,998.50858503963,"10/20/2019 1:51:03 AM",47.55564513,6,4,0,1,1
"39",1465.4897834965,1367.86117527621,"10/19/2019 11:25:32 PM",7.01139281,0,0,0,0,0
"40",1112.76563724834,1213.17244124619,"10/19/2019 6:51:17 PM",44.36641811,0,0,0,0,0
"41",1474.52360866786,997.928332220892,"10/19/2019 8:38:30 PM",42.28831292,0,0,0,0,0
"42",1900.5408849267,978.474427024515,"10/20/2019 2:14:18 AM",48.43005158,8,1,0,0,1
"43",1529.93363217322,671.545212471021,"10/19/2019 10:16:16 PM",32.85994961,1,3,0,0,0
"44",1800.02458694757,968.83273762186,"10/20/2019 1:34:08 AM",46.30505167,6,2,0,0,1
"45",1784.2733031377,1105.8994173888,"10/20/2019 1:30:32 AM",40.86771239,6,1,0,1,1
"46",1229.45626160884,1266.94834261883,"10/19/2019 9:05:52 PM",35.5562856,0,0,0,0,0
"47",1472.36550715799,939.883052839166,"10/19/2019 10:04:02 PM",12.18374829,0,0,0,0,0
"48",1694.00894390913,923.344856420242,"10/19/2019 10:42:12 PM",0,4,3,0,0,1
"49",912.886641215312,1030.45210947187,"10/19/2019 6:07:24 PM",38.08961824,0,0,0,0,0
"50",925.372650708458,1082.52691984793,"10/19/2019 5:45:23 PM",36.36282965,0,0,0,0,0
"51",1259.03561039998,1182.83376456138,"10/20/2019 12:03:27 AM",26.37050973,0,0,0,0,0
"52",1188.16041182558,1029.66586374893,"10/19/2019 8:52:53 PM",49.89128431,0,0,0,0,0
"53",1886.39622342695,952.983213937436,"10/20/2019 2:11:34 AM",33.95520363,7,4,0,0,1
"54",1126.64263879317,909.563950755009,"10/19/2019 6:48:36 PM",43.49850461,0,0,0,0,0
"55",1063.18735334308,992.142357316979,"10/19/2019 6:25:34 PM",44.13397946,0,0,0,0,0
"56",1163.81912950043,1341.51036937133,"10/19/2019 7:55:34 PM",0,0,0,0,0,0
"57",1510.12248976663,1209.34249406495,"10/19/2019 11:17:15 PM",5.89908942,1,2,0,0,0
"58",768.838875782045,1079.79441114235,"10/19/2019 5:44:19 PM",13.97915001,0,0,0,0,0
"59",882.45780640999,1029.83315074356,"10/19/2019 6:07:36 PM",45.87502508,0,0,0,0,0
"60",1220.46096363577,1318.36557656071,"10/19/2019 8:58:47 PM",22.56761063,0,0,0,0,0
"61",1365.72554030432,1219.33839549997,"10/19/2019 11:46:28 PM",46.05024011,0,0,0,0,0
"62",1993.99948814416,878.248675271209,"10/19/2019 9:38:08 PM",61.56656901,0,0,0,0,0
"63",1323.86542841967,879.597843631067,"10/19/2019 8:27:28 PM",47.46738069,0,0,0,0,0
"64",1423.86209287344,1207.48860372195,"10/19/2019 11:34:14 PM",40.89018406,0,0,0,0,0
"65",1055.58969992433,1052.4151354734,"10/19/2019 6:30:02 PM",36.37713961,0,0,0,0,0
"66",1200.0725924582,1315.04174660228,"10/19/2019 5:24:02 PM",24.51271513,0,0,0,0,0
"67",1582.02369957839,1207.0065524378,"10/19/2019 11:08:49 PM",0,2,3,0,0,0
"68",1769.28931847062,1166.96787392519,"10/20/2019 1:23:05 AM",45.12318327,5,4,1,1,1
"69",1141.03684372708,1286.22958758072,"10/19/2019 7:14:33 PM",4.7538587,0,0,0,0,0
"70",1552.42689713912,1307.62212564812,"10/19/2019 10:28:38 PM",35.29728985,2,1,0,0,0
"71",1760.08228046431,723.608632457792,"10/19/2019 10:57:59 PM",0,0,0,0,0,0
"72",1541.70868037711,931.800493280918,"10/19/2019 10:20:35 PM",40.01540741,1,4,0,0,1
"73",1541.91467231456,1024.79494807418,"10/19/2019 10:19:49 PM",49.20575287,1,4,0,0,1
"74",1222.17067557721,757.809060284998,"10/19/2019 8:17:46 PM",43.66321193,0,0,0,0,0
"75",1024.40041461227,1270.49175737151,"10/19/2019 5:18:36 PM",34.64537,0,0,0,0,0
"76",1625.04105669942,1221.34633433046,"10/20/2019 12:26:29 AM",32.87552156,0,0,0,0,0
"77",1075.73964325465,1376.62509886955,"10/19/2019 5:08:55 PM",0,0,0,0,0,0
"78",1155.42707261211,1342.43241155337,"10/19/2019 7:26:33 PM",40.97891171,0,0,0,0,0
"79",1942.58427216589,921.632231104507,"10/20/2019 2:35:07 AM",29.27860355,8,4,0,0,1
"80",1237.44529632531,1040.342210855,"10/19/2019 8:35:44 PM",33.21963107,0,0,0,0,0
"81",1884.10283197627,1193.12515605292,"10/20/2019 2:09:24 AM",10.37318305,7,0,0,0,0
"82",1887.02068961239,895.845593207487,"10/20/2019 2:12:04 AM",26.01119718,7,4,0,0,1
"83",1699.5368337551,1211.27442685396,"10/19/2019 5:02:49 PM",35.77336398,0,0,0,0,0
"84",1067.35767748649,1326.82430101609,"10/19/2019 7:23:00 PM",36.79921847,0,0,0,0,0
"85",1026.48767620732,1022.88050839446,"10/19/2019 5:16:22 PM",35.61853618,0,0,0,0,0
"86",1365.99099102033,916.997350036999,"10/19/2019 8:40:38 PM",19.61133087,0,0,0,0,0
"87",1472.57454165813,670.266045832511,"10/19/2019 10:01:03 PM",14.10032808,0,0,0,0,0
"88",1442.38431409606,722.492914152329,"10/19/2019 9:56:25 PM",42.81032429,0,0,0,0,0
"89",1867.97817226337,1222.39614298607,"10/20/2019 12:49:21 AM",47.29194753,0,0,0,0,0
"90",1855.5299419237,1174.3034803935,"10/20/2019 2:01:53 AM",8.41215956,7,2,1,1,1
"91",1111.63357832359,921.482417435795,"10/19/2019 6:43:01 PM",45.28250634,0,0,0,0,0
"92",1135.72087252544,1412.11586291396,"10/19/2019 4:41:18 PM",38.97285983,0,0,0,0,0
"93",1067.60711122629,1267.088424359,"10/19/2019 6:34:12 PM",36.81377358,0,0,0,0,0
"94",1186.51650459971,992.796219368076,"10/19/2019 8:53:12 PM",6.91892657,0,0,0,0,0
"95",1471.36217365517,761.821952092259,"10/19/2019 10:02:37 PM",47.37229462,0,0,0,0,0
"96",1571.54928209814,645.971391141725,"10/19/2019 9:46:14 PM",27.88783487,0,0,0,0,0
"97",1741.00518746412,1127.39078801448,"10/20/2019 1:11:17 AM",37.36988092,5,2,1,1,1
"98",1956.20685801685,890.429013160623,"10/20/2019 2:28:56 AM",41.51468491,0,1,0,0,0
"99",1942.7508776855,899.99290835287,"10/20/2019 2:35:19 AM",35.08785399,8,4,0,0,1
"100",988.500734885447,1001.30055781912,"10/19/2019 6:17:17 PM",49.59356844,0,0,0,0,0
"101",1711.42550731832,1201.10792108479,"10/20/2019 1:02:22 AM",47.56147266,4,4,0,0,0
"102",1368.82401040292,745.308792316313,"10/19/2019 9:24:44 PM",45.31400582,0,0,0,0,0
"103",1337.1250337128,1132.27842762982,"10/19/2019 11:51:08 PM",26.44671562,0,0,0,0,0
"104",1425.78619542022,880.355589804079,"10/19/2019 9:53:52 PM",47.35310284,0,0,0,0,0
"105",1230.57197061091,1050.55431123406,"10/19/2019 8:44:45 PM",16.65462258,0,0,0,0,0
"106",1449.07754246276,1115.49300846738,"10/19/2019 11:29:20 PM",12.4282235,0,0,0,0,0
"107",1510.3417654477,1184.44380926227,"10/19/2019 11:17:27 PM",0.3920358,1,2,1,0,1
"108",1227.28430554332,1087.40673201836,"10/19/2019 9:03:28 PM",22.32169267,0,0,0,0,0
"109",1679.74475844611,849.876102895308,"10/19/2019 10:43:10 PM",13.94591573,4,2,0,0,1
"110",1158.81142884936,694.668491405729,"10/19/2019 7:00:24 PM",30.05452643,0,0,0,0,0
"111",1770.82005043155,1011.57340264367,"10/20/2019 1:24:40 AM",33.0014124,5,4,0,1,1
"112",684.249392679319,1015.31255812332,"10/19/2019 6:09:59 PM",18.83642775,0,0,0,0,0
"113",1686.92794124753,784.833791495214,"10/19/2019 10:56:49 PM",30.71542642,4,2,0,0,0
"114",1369.15496753397,721.358174914568,"10/19/2019 9:24:56 PM",6.04847147,0,0,0,0,0
"115",1541.94099106208,907.480734510623,"10/19/2019 10:20:47 PM",33.40912461,1,4,0,0,1
"116",1870.37407620381,1128.63799482923,"10/20/2019 2:08:14 AM",38.03915105,7,3,1,1,1
"117",954.153769764031,1082.90247528453,"10/19/2019 5:45:35 PM",29.65459686,0,0,0,0,0
"118",1437.89242169805,1256.16981280425,"10/19/2019 11:31:15 PM",42.01766032,0,0,0,0,0
"119",1278.77919681125,1372.2367070847,"10/20/2019 12:14:53 AM",36.05774522,0,0,0,0,0
"120",1044.6534221585,1363.12346031517,"10/19/2019 5:10:55 PM",12.16948451,0,0,0,0,0
"121",1613.02254083373,635.382076666525,"10/19/2019 9:44:01 PM",41.76436495,0,0,0,0,0
"122",1010.30402719751,1189.12693966039,"10/19/2019 5:13:01 PM",3.74692971,0,0,0,0,0
"123",1144.0654991374,666.305871603953,"10/19/2019 6:59:11 PM",42.8813496,0,0,0,0,0
"124",1210.14542120938,626.544469570437,"10/19/2019 8:03:50 PM",28.95001836,0,0,0,0,0
"125",1222.56327294303,737.089591021944,"10/19/2019 8:17:58 PM",37.0846598,0,0,0,0,0
"126",1199.89348277907,1260.11856377703,"10/19/2019 8:56:45 PM",42.78208525,0,0,0,0,0
"127",1047.68807714993,1312.90549343592,"10/19/2019 7:23:12 PM",5.69701569,0,0,0,0,0
"128",1701.65281629741,1210.33609122678,"10/19/2019 5:02:50 PM",22.60976543,0,0,0,0,0
"129",1337.13398060144,1248.19224560984,"10/19/2019 11:50:07 PM",0,0,0,0,0,0
"130",1626.54494535399,1077.25081806304,"10/20/2019 12:27:45 AM",35.88668637,3,2,0,1,1
"131",1451.6080318994,1313.87729137342,"10/19/2019 11:27:08 PM",19.95573969,0,0,0,0,0
"132",604.302919773722,968.190523452061,"10/19/2019 5:37:30 PM",38.3196201,0,0,0,0,0
"133",1335.97563152973,1224.33065098354,"10/19/2019 11:50:20 PM",32.58105855,0,0,0,0,0
"134",1870.15988196423,1150.29458331131,"10/20/2019 2:08:26 AM",43.55993862,7,3,1,1,1
"135",1795.30424917988,669.740202250523,"10/20/2019 1:42:09 AM",40.33832543,0,0,0,0,0
"136",1111.90941268806,898.97817509391,"10/19/2019 6:43:13 PM",44.98943448,0,0,0,0,0
"137",1264.56886820331,1054.98201727086,"10/19/2019 8:35:56 PM",18.27818855,0,0,0,0,0
"138",1887.13071406765,872.94577906493,"10/20/2019 2:12:16 AM",41.77985309,7,4,0,0,1
"139",1584.02579140982,1013.46002690199,"10/19/2019 11:06:54 PM",8.11287236,2,3,0,1,1
"140",1422.7425165891,1321.71518665415,"10/19/2019 11:33:11 PM",7.41561892,0,0,0,0,0
"141",821.549211707419,968.056048945247,"10/19/2019 5:35:54 PM",18.20168283,0,0,0,0,0
"142",1362.5444413999,907.285990454592,"10/19/2019 9:16:39 PM",36.36339931,0,0,0,0,0
"143",1440.78929073015,879.378216692723,"10/19/2019 9:57:41 PM",49.13324711,0,0,0,0,0
"144",1129.0683690091,686.605329208603,"10/19/2019 6:46:34 PM",44.59972213,0,0,0,0,0
"145",1537.51438423198,1366.5442982927,"10/19/2019 11:10:44 PM",26.4297685,1,4,0,0,0
"146",1756.78817511034,982.884107096406,"10/20/2019 1:17:10 AM",38.36968218,5,3,0,0,1
"147",1229.68614206806,1246.45259204581,"10/19/2019 9:05:40 PM",38.85344845,0,0,0,0,0
"148",1678.22323832665,1341.15125426111,"10/19/2019 4:49:00 PM",37.02699786,0,0,0,0,0
"149",1581.37227974075,635.554814478719,"10/19/2019 9:44:13 PM",6.74103754,0,0,0,0,0
"150",1471.15096203937,787.101942897571,"10/19/2019 10:02:49 PM",46.0974217,0,0,0,0,0
"151",1733.70988003028,667.375618726128,"10/20/2019 1:37:02 AM",38.94087953,0,0,0,0,0
"152",1557.58213991542,770.754885678006,"10/19/2019 10:24:07 PM",40.4854507,2,1,0,0,0
